Exp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
1,2023,'860730000',108,  ,KG,0,10427,128673,0,0,0,0,0,0,0,0,0,0,2142,18800,0,2142,19600,0,74,9535,0,2731,34840,0,0,0,0,0,0,0,104,4562,0,0,0,0,3234,41336
1,2023,'860730000',112,  ,KG,0,49,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,246,0,3,1945,0,0,0
1,2023,'860730000',118,  ,KG,0,8205,59914,0,0,0,0,0,0,0,0,0,0,2882,22102,0,0,0,0,0,0,0,0,0,0,1578,11154,0,0,0,0,0,0,0,0,0,0,3745,26658
1,2023,'860730000',123,  ,KG,0,636,2815,0,0,0,0,0,0,0,0,0,0,0,0,0,636,2815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860730000',127,  ,KG,0,514,6673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,6673,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860730000',129,  ,KG,0,758,10823,0,0,0,0,0,0,0,0,0,0,0,0,0,740,10182,0,0,0,0,0,0,0,0,0,0,18,641,0,0,0,0,0,0,0,0,0
1,2023,'860730000',140,  ,KG,0,1403,5786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1403,5786,0,0,0,0,0,0
1,2023,'860730000',203,  ,KG,0,313,2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,2800,0,0,0,0,0,0,0,0,0
1,2023,'860730000',220,  ,KG,0,60,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,262
1,2023,'860730000',245,  ,KG,0,968,2638,0,0,0,0,0,0,0,0,0,0,0,0,0,968,2638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860730000',304,  ,KG,0,50,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,321,0,0,0,0,0,0,0,0,0
1,2023,'860730000',514,  ,KG,0,100,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,291,0,0,0,0,0,0,0,0,0
1,2023,'860730000',601,  ,KG,0,370,1339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,1339,0,0,0
1,2023,'860791000',103,  ,KG,0,24020,115622,0,0,0,0,7920,38322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10100,50800,0,6000,26500,0,0,0,0,0,0
1,2023,'860791000',105,  ,KG,0,69762,315906,0,0,0,0,5900,24690,0,0,0,0,11144,49380,0,9450,41150,0,5200,32000,0,7560,32920,0,7560,32920,0,0,0,0,9233,49306,0,8103,29170,0,5612,24370
1,2023,'860791000',106,  ,KG,0,7397,54122,0,0,0,0,0,0,0,0,0,0,64,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,1668,0,7033,51454,0,0,0
1,2023,'860791000',110,  ,KG,0,113,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,704,0,0,0,0,0,0,0,0,0
1,2023,'860791000',112,  ,KG,0,1224,10064,0,0,0,0,0,0,0,1224,10064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
